Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-03-12,Included,composer-1,No,0,13710,78592,1277,93579,Included
2026-03-11,Included,composer-1,No,0,29940,142144,2958,175042,Included
2026-03-11,Included,composer-1,No,0,38009,188064,5107,231180,Included
2026-03-11,Included,composer-1,No,0,41950,172960,3469,218379,Included
2026-03-11,Included,composer-1,No,0,30599,67648,1304,99551,Included
2026-03-11,Included,composer-1,No,0,18604,39008,747,58359,Included
2026-03-11,Included,composer-1,No,0,24731,39904,603,65238,Included
2026-03-11,Included,composer-1,No,0,12354,50784,807,63945,Included
2026-03-11,Included,composer-1,No,0,9531,168480,2453,180464,Included
2026-03-11,Included,composer-1,No,0,91480,207968,3868,303316,Included
2026-03-11,Included,composer-1,No,0,38823,37440,1112,77375,Included
2026-03-11,Included,composer-1,No,0,44426,28032,755,73213,Included
2026-03-11,Included,gpt-5.3-codex,No,0,22131,148608,9206,179945,Included
2026-03-11,Included,composer-1,No,0,43825,37376,3870,85071,Included
2026-03-11,Included,composer-1,No,0,70695,64576,1161,136432,Included
2026-03-11,Included,composer-1,No,0,19154,9344,206,28704,Included
2026-03-11,Included,composer-1,No,0,56816,28096,465,85377,Included
2026-03-11,Included,composer-1,No,0,0,0,0,0,Included
2026-03-11,Included,composer-1,No,0,164604,254752,6400,425756,Included
2026-03-11,Included,composer-1,No,0,6905,348256,1316,356477,Included
2026-03-11,Included,composer-1,No,0,126423,76704,1275,204402,Included
2026-03-11,Included,composer-1,No,0,30330,48448,5221,83999,Included
2026-03-11,Included,composer-1,No,0,92289,108608,2845,203742,Included
2026-03-11,Included,composer-1,No,0,33112,28128,517,61757,Included
2026-03-11,Included,composer-1,No,0,13170,9376,272,22818,Included
2026-03-11,Included,composer-1,No,0,37900,44352,867,83119,Included
2026-03-11,Included,composer-1,No,0,19795,18720,479,38994,Included
2026-03-11,Included,composer-1,No,0,9342,9376,32,18750,Included
2026-03-11,Included,composer-1,No,0,9374,9344,42,18760,Included
2026-03-11,Included,auto,No,0,18644,76928,941,96513,Included
2026-03-11,Included,composer-1,No,0,0,0,0,0,Included
2026-03-11,Included,composer-1,No,0,43744,87968,2082,133794,Included
2026-03-11,Included,composer-1,No,0,29307,48448,715,78470,Included
2026-03-11,Included,composer-1,No,0,30921,67424,1053,99398,Included
2026-03-10,Included,composer-1,No,0,7437,632032,2058,641527,Included
2026-03-10,Included,composer-1,No,0,495,154048,149,154692,Included
2026-03-10,Included,composer-1,No,0,64542,1388064,2255,1454861,Included
2026-03-10,Included,composer-1,No,0,872,173472,702,175046,Included
2026-03-10,Included,composer-1,No,0,937,169440,1219,171596,Included
2026-03-10,Included,composer-1,No,0,14462,797472,7160,819094,Included
2026-03-10,Included,composer-1,No,0,182852,905856,7858,1096566,Included
2026-03-10,Included,composer-1,No,0,56481,87840,11656,155977,Included
2026-03-10,Included,gpt-5.3-codex,No,0,47223,158208,3340,208771,Included
2026-03-10,Included,gpt-5.3-codex,No,0,90141,63360,8615,162116,Included
2026-03-10,Included,gpt-5.3-codex,No,0,28919,101888,11161,141968,Included
2026-03-10,Included,composer-1,No,0,146023,1264480,6916,1417419,Included
2026-03-10,Included,gpt-5.3-codex,No,0,43349,55296,9739,108384,Included
2026-03-10,Included,gpt-5.3-codex,No,0,22833,5632,712,29177,Included
2026-03-10,Included,composer-1,No,0,37454,53568,1850,92872,Included
2026-03-10,Included,composer-1,No,0,157906,154656,4805,317367,Included
2026-03-10,Included,composer-1.5,No,0,1107,137056,1691,139854,Included
2026-03-10,Included,composer-1.5,No,0,15041,304896,4069,324006,Included
2026-03-10,Included,composer-1.5,No,0,8412,210400,4516,223328,Included
2026-03-10,Included,composer-1.5,No,0,185,49824,144,50153,Included
2026-03-10,Included,auto,No,0,86,19456,83,19625,Included
2026-03-10,Included,composer-1.5,No,0,8890,93280,1860,104030,Included
2026-03-10,Included,auto,No,0,87,19456,158,19701,Included
2026-03-10,Included,composer-1.5,No,0,200,44032,167,44399,Included
2026-03-10,Included,composer-1.5,No,0,10393,140672,3437,154502,Included
2026-03-10,Included,composer-1.5,No,0,796,141792,1356,143944,Included
2026-03-10,Included,auto,No,0,2646,16896,108,19650,Included
2026-03-10,Included,composer-1.5,No,0,14427,99808,2478,116713,Included
2026-03-10,Included,composer-1.5,No,0,1965,27904,740,30609,Included
2026-03-10,Included,composer-1.5,No,0,2786,47456,1066,51308,Included
2026-03-10,Included,composer-1.5,No,0,6691,14176,1681,22548,Included
2026-03-10,Included,composer-1.5,No,0,2774,11072,346,14192,Included
2026-03-10,Included,auto,No,0,3049,197632,945,201626,Included
2026-03-10,Included,auto,No,0,4899,180224,1796,186919,Included
2026-03-10,Included,auto,No,0,6609,235520,2955,245084,Included
2026-03-10,Included,composer-1,No,0,136637,209920,3209,349766,Included
2026-03-10,Included,auto,No,0,2815,142336,725,145876,Included
2026-03-10,Included,auto,No,0,2186,43520,758,46464,Included
2026-03-10,Included,auto,No,0,5649,77312,974,83935,Included
2026-03-10,Included,auto,No,0,1199,76288,497,77984,Included
2026-03-10,Included,auto,No,0,1557,48640,315,50512,Included
2026-03-10,Included,auto,No,0,724,23552,422,24698,Included
2026-03-10,Included,auto,No,0,558,23040,592,24190,Included
2026-03-10,Included,auto,No,0,2064,66048,773,68885,Included
2026-03-10,Included,auto,No,0,1372,41472,956,43800,Included
2026-03-10,Included,auto,No,0,13163,142336,1625,157124,Included
2026-03-10,Included,composer-1.5,No,0,4548,1475552,4152,1484252,Included
2026-03-10,Included,composer-1.5,No,0,15477,1245088,3065,1263630,Included
2026-03-10,Included,composer-1.5,No,0,676,537792,375,538843,Included
